crimeCaseNumber,CrimeDate,CrimeCode,CrimeTime,Location,Description,Weapon,Post,District,Neighborhood,Location 1
,10/30/14,3B,19:20:00,900 N PATTERSON PK AV,ROBBERY - STREET,,321,EASTERN,Middle East,"(39.3010000000, -76.5853100000)"
,10/30/14,3CK,19:30:00,1000 W 41ST ST,ROBBERY - COMMERCIAL,KNIFE,541,NORTHERN,Hoes Heights,"(39.3375600000, -76.6347400000)"
,10/30/14,3K,19:40:00,0 N STREEPER ST,ROBBERY - RESIDENCE,,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2928500000, -76.5769700000)"
,10/30/14,4A,20:12:00,3600 REISTERSTOWN RD,AGG. ASSAULT,FIREARM,612,NORTHWESTERN,Park Circle,"(39.3289500000, -76.6603400000)"
,10/30/14,9S,2012,3600 REISTERSTOWN RD,SHOOTING,FIREARM,612,NORTHWESTERN,Park Circle,"(39.3289500000, -76.6603400000)"
,10/30/14,4B,21:32:00,2100 LINDEN AV,AGG. ASSAULT,KNIFE,133,CENTRAL,Reservoir Hill,"(39.3115900000, -76.6334400000)"
,10/30/14,3K,22:45:00,3600 4TH ST,ROBBERY - RESIDENCE,,913,SOUTHERN,Brooklyn,"(39.2365900000, -76.6056900000)"
,10/30/14,2A,23:04:01,3700 GOUGH ST,RAPE,OTHER,231,SOUTHEASTERN,Highlandtown,"(39.2886800000, -76.5665200000)"
,10/30/14,3JK,23:30:00,900 ST PAUL ST,ROBBERY - RESIDENCE,KNIFE,142,CENTRAL,Mount Vernon,"(39.3002900000, -76.6142000000)"
,10/29/14,3AF,1:40:00,1200 KITMORE RD,ROBBERY - STREET,FIREARM,413,NORTHEASTERN,New Northwood,"(39.3502400000, -76.5982300000)"
,10/29/14,3JF,1:50:00,2300 E BALTIMORE ST,ROBBERY - RESIDENCE,FIREARM,221,SOUTHEASTERN,Patterson Place,"(39.2919300000, -76.5843600000)"
,10/29/14,3AF,6:30:00,5800 CHINQUAPIN PKWY,ROBBERY - STREET,FIREARM,522,NORTHERN,Glen Oaks,"(39.3626900000, -76.5968200000)"
,10/29/14,3CF,8:02:00,3400 DOLFIELD AV,ROBBERY - COMMERCIAL,FIREARM,643,NORTHWESTERN,East Arlington,"(39.3321400000, -76.6719400000)"
,10/29/14,3AF,9:30:00,4100 LABYRINTH RD,ROBBERY - STREET,FIREARM,631,NORTHWESTERN,Reisterstown Station,"(39.3597800000, -76.7076300000)"
,10/29/14,4A,10:01:00,2300 ANNAPOLIS RD,AGG. ASSAULT,FIREARM,921,SOUTHERN,Westport,"(39.2627000000, -76.6341400000)"
,10/29/14,9S,1001,2300 ANNAPOLIS RD,SHOOTING,FIREARM,921,SOUTHERN,Westport,"(39.2627000000, -76.6341400000)"
,10/29/14,3B,13:30:00,1000 PARK AV     #STE:300,ROBBERY - STREET,,141,CENTRAL,Mid-Town Belvedere,"(39.3034600000, -76.6191100000)"
,10/29/14,9S,1327,6100 REISTERSTOWN RD,SHOOTING,FIREARM,631,NORTHWESTERN,Reisterstown Station,"(39.3533700000, -76.6984100000)"
,10/29/14,4A,14:58:00,2200 JEFFERSON ST,AGG. ASSAULT,FIREARM,321,EASTERN,CARE,"(39.2965700000, -76.5854000000)"
,10/29/14,3P,16:00:00,100 MC MECHEN ST,ROBBERY - STREET,,132,CENTRAL,Bolton Hill,"(39.3094300000, -76.6245900000)"
,10/29/14,3B,16:15:00,400 W NORTH AVE,ROBBERY - STREET,,133,CENTRAL,Reservoir Hill,"(39.3110000000, -76.6232600000)"
,10/29/14,3B,18:40:00,500 E 33RD ST,ROBBERY - STREET,,543,NORTHERN,Waverly,"(39.3285200000, -76.6092900000)"
,10/29/14,1F,1855,0 S CATHERINE ST,HOMICIDE,FIREARM,842,SOUTHWESTERN,Shipley Hill,"(39.2877000000, -76.6561900000)"
,10/29/14,4D,19:00:00,2000 HARMAN AV,AGG. ASSAULT,HANDS,831,SOUTHWESTERN,Morrell Park,"(39.2658100000, -76.6506300000)"
,10/29/14,3AK,21:00:00,5900 YORK RD,ROBBERY - STREET,KNIFE,523,NORTHERN,Rosebank,"(39.3629200000, -76.6099900000)"
,10/29/14,3CK,21:14:00,3500 W BELVEDERE AV,ROBBERY - COMMERCIAL,KNIFE,614,NORTHWESTERN,Central Park Heights,"(39.3473100000, -76.6784100000)"
,10/29/14,3AK,21:30:00,500 KIRBY LA,ROBBERY - STREET,KNIFE,722,WESTERN,Harlem Park,"(39.2939100000, -76.6462800000)"
,10/29/14,4C,23:23:00,500 W LAFAYETTE AV,AGG. ASSAULT,OTHER,123,CENTRAL,Upton,"(39.3024900000, -76.6299900000)"
,10/28/14,4C,21:30:00,3900 N CHARLES ST,AGG. ASSAULT,OTHER,541,NORTHERN,Tuscany-Canterbury,"(39.3359500000, -76.6182000000)"
,10/28/14,3AK,21:52:00,0 GRANT ST,ROBBERY - STREET,KNIFE,111,CENTRAL,Downtown,"(39.2895700000, -76.6130400000)"
,10/28/14,3B,22:45:00,2300 EVERGREEN ST,ROBBERY - STREET,,731,WESTERN,Panway/Braddish Avenue,"(39.3136300000, -76.6605200000)"
,10/28/14,3AO,23:00:00,300 W BALTIMORE ST,ROBBERY - STREET,OTHER,111,CENTRAL,Downtown,"(39.2893200000, -76.6196700000)"
,10/28/14,4A,20:40:00,2300 AIKEN ST,AGG. ASSAULT,FIREARM,342,EASTERN,East Baltimore Midway,"(39.3161500000, -76.5982200000)"
,10/28/14,3B,19:30:00,200 S ARLINGTON AV,ROBBERY - STREET,,932,SOUTHERN,Washington Village/Pigtown,"(39.2835500000, -76.6337000000)"
,10/28/14,4C,19:38:00,600 N MLK JR BD,AGG. ASSAULT,OTHER,143,CENTRAL,Seton Hill,"(39.2968800000, -76.6257900000)"
,10/28/14,3B,20:00:00,2200 CHELSEA TR,ROBBERY - STREET,,812,SOUTHWESTERN,Mount Holly,"(39.3131400000, -76.6809300000)"
,10/28/14,4D,0:20:00,400 S CLINTON ST,AGG. ASSAULT,HANDS,231,SOUTHEASTERN,Highlandtown,"(39.2874400000, -76.5700600000)"
,10/28/14,3B,1:15:00,1700 FLEET ST,ROBBERY - STREET,,213,SOUTHEASTERN,Fells Point,"(39.2845900000, -76.5933400000)"
,10/28/14,4C,2:30:00,1700 W PRATT ST,AGG. ASSAULT,OTHER,935,SOUTHERN,New Southwest/Mount Clare,"(39.2852800000, -76.6438100000)"
,10/28/14,3B,2:50:00,300 LIGHT ST,ROBBERY - STREET,,113,CENTRAL,Downtown West,"(39.2848600000, -76.6134100000)"
,10/28/14,1O,455,4400 FURLEY AV,HOMICIDE,OTHER,443,NORTHEASTERN,Frankford,"(39.3310400000, -76.5565400000)"
,10/28/14,4C,8:30:00,1500 RAMSAY ST,AGG. ASSAULT,OTHER,935,SOUTHERN,New Southwest/Mount Clare,"(39.2833700000, -76.6407700000)"
,10/28/14,2A,9:08:50,6800 EASTERN AV,RAPE,OTHER,243,SOUTHEASTERN,Graceland Park,"(39.2879600000, -76.5303900000)"
,10/28/14,3AK,15:27:00,1700 E MONUMENT ST,ROBBERY - STREET,KNIFE,321,EASTERN,Middle East,"(39.2984300000, -76.5936500000)"
,10/28/14,4C,16:10:00,2100 W FRANKLIN ST,AGG. ASSAULT,OTHER,722,WESTERN,Midtown-Edmondson,"(39.2936600000, -76.6509300000)"
,10/28/14,4C,17:00:00,4900 CARMINE AV,AGG. ASSAULT,OTHER,821,SOUTHWESTERN,Franklintown,"(39.3060100000, -76.7073400000)"
,10/28/14,4D,17:10:00,800 SEAGULL AV,AGG. ASSAULT,HANDS,922,SOUTHERN,Cherry Hill,"(39.2459000000, -76.6203600000)"
,10/28/14,4C,17:25:00,600 N MARTIN LUTHER KING JR BLVD,AGG. ASSAULT,OTHER,143,CENTRAL,Seton Hill,"(39.2968800000, -76.6257900000)"
,10/28/14,4C,17:25:00,600 N MARTIN LUTHER KING JR BLVD,AGG. ASSAULT,OTHER,143,CENTRAL,Seton Hill,"(39.2968800000, -76.6257900000)"
,10/28/14,4C,17:25:00,600 N MARTIN LUTHER KING JR BLVD,AGG. ASSAULT,OTHER,143,CENTRAL,Seton Hill,"(39.2968800000, -76.6257900000)"
,10/28/14,3B,18:00:00,3200 LIBERTY HTS,ROBBERY - STREET,,643,NORTHWESTERN,Ashburton,"(39.3236800000, -76.6696200000)"
,10/28/14,3AK,19:04:00,4200 PARK HEIGHTS AV,ROBBERY - STREET,KNIFE,614,NORTHWESTERN,Central Park Heights,"(39.3368400000, -76.6644100000)"
,10/28/14,3B,19:10:00,6000 BOSTON ST,ROBBERY - STREET,,233,SOUTHEASTERN,Medford,"(39.2779900000, -76.5436400000)"
,10/28/14,4B,19:25:00,4700 GWYNN OAK AV,AGG. ASSAULT,KNIFE,622,NORTHWESTERN,Howard Park,"(39.3311200000, -76.6958900000)"
,10/28/14,3AF,21:30:00,1300 GORSUCH AV,ROBBERY - STREET,FIREARM,411,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3242400000, -76.5995400000)"
,10/27/14,4B,14:35:00,1900 HOMEWOOD AVE,AGG. ASSAULT,KNIFE,342,EASTERN,East Baltimore Midway,"(39.3120100000, -76.6071800000)"
,10/27/14,3B,1:30:00,2500 ORLEANS ST,ROBBERY - STREET,,221,SOUTHEASTERN,McElderry Park,"(39.2956600000, -76.5820400000)"
,10/27/14,2A,3:56:04,3700 CLAREMONT AV,RAPE,OTHER,231,SOUTHEASTERN,Highlandtown,"(39.2894700000, -76.5664100000)"
,10/27/14,4C,4:08:00,900 GUILFORD AV,AGG. ASSAULT,OTHER,142,CENTRAL,Mount Vernon,"(39.2999000000, -76.6117100000)"
,10/27/14,4C,4:08:00,900 GUILFORD AV,AGG. ASSAULT,OTHER,142,CENTRAL,Mount Vernon,"(39.2999000000, -76.6117100000)"
,10/27/14,4D,8:00:00,300 N CARROLLTON AV,AGG. ASSAULT,HANDS,712,WESTERN,Poppleton,"(39.2924000000, -76.6369600000)"
,10/27/14,4D,8:00:00,800 E JEFFREY ST,AGG. ASSAULT,HANDS,913,SOUTHERN,Brooklyn,"(39.2322700000, -76.6003000000)"
,10/27/14,4C,8:00:00,300 N CARROLLTON AV,AGG. ASSAULT,OTHER,712,WESTERN,Poppleton,"(39.2924000000, -76.6369600000)"
,10/27/14,4C,11:57:00,4900 FRANKFORD AV,AGG. ASSAULT,OTHER,443,NORTHEASTERN,Frankford,"(39.3307600000, -76.5432000000)"
,10/27/14,4B,12:30:00,2100 ASHLAND AV,AGG. ASSAULT,KNIFE,321,EASTERN,Middle East,"(39.3008000000, -76.5876000000)"
,10/27/14,3B,13:10:00,4600 KESWICK RD,ROBBERY - STREET,,541,NORTHERN,Evergreen,"(39.3469000000, -76.6301100000)"
,10/27/14,4A,15:21:00,2500 EDMONDSON AV,AGG. ASSAULT,FIREARM,721,WESTERN,Rosemont Homeowners/Tenants,"(39.2946500000, -76.6575400000)"
,10/27/14,9S,1521,2500 EDMONDSON AV,SHOOTING,FIREARM,721,WESTERN,Rosemont Homeowners/Tenants,"(39.2946500000, -76.6575400000)"
,10/27/14,3AF,16:25:00,5000 HARFORD RD,ROBBERY - STREET,FIREARM,426,NORTHEASTERN,Lauraville,"(39.3471700000, -76.5658500000)"
,10/27/14,4B,18:00:00,1900 WILKENS AV,AGG. ASSAULT,KNIFE,934,SOUTHERN,Carrollton Ridge,"(39.2819000000, -76.6468500000)"
,10/27/14,4C,18:00:00,200 HERRING CT,AGG. ASSAULT,OTHER,211,SOUTHEASTERN,Perkins Homes,"(39.2886300000, -76.5951200000)"
,10/27/14,4B,18:04:00,1800 W SARATOGA ST,AGG. ASSAULT,KNIFE,711,WESTERN,Franklin Square,"(39.2920400000, -76.6467800000)"
,10/27/14,3D,19:25:00,3800 FREDERICK AV,ROBBERY - COMMERCIAL,,842,SOUTHWESTERN,Irvington,"(39.2818800000, -76.6795600000)"
,10/27/14,3AF,20:15:00,2700 MATHEWS ST,ROBBERY - STREET,FIREARM,513,NORTHERN,Better Waverly,"(39.3212700000, -76.6078900000)"
,10/27/14,4C,20:17:00,2000 E 30TH ST,AGG. ASSAULT,OTHER,411,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3253700000, -76.5874400000)"
,10/27/14,3AF,20:20:00,2600 DENISON ST,ROBBERY - STREET,FIREARM,641,NORTHWESTERN,Hanlon-Longwood,"(39.3163300000, -76.6745900000)"
,10/27/14,2B,20:30:08,5600 CEDELLA AV,RAPE,,444,NORTHEASTERN,Frankford,"(39.3325800000, -76.5404100000)"
,10/27/14,4B,21:00:00,600 TUNBRIDGE RD,AGG. ASSAULT,KNIFE,523,NORTHERN,Mid-Govans,"(39.3565000000, -76.6080500000)"
,10/27/14,3AF,21:30:00,200 N CASTLE ST,ROBBERY - STREET,FIREARM,212,SOUTHEASTERN,CARE,"(39.2945500000, -76.5884800000)"
,10/27/14,3K,21:45:00,2400 KEN OAK RD,ROBBERY - RESIDENCE,,533,NORTHERN,Mount Washington,"(39.3584300000, -76.6695500000)"
,10/27/14,4C,22:00:00,2100 MCHENRY ST,AGG. ASSAULT,OTHER,841,SOUTHWESTERN,Carrollton Ridge,"(39.2840900000, -76.6503200000)"
,10/26/14,3K,0:50:00,2300 MCCULLOH ST,ROBBERY - RESIDENCE,,133,WESTERN,Reservoir Hill,"(39.3115500000, -76.6380900000)"
,10/26/14,4C,1:01:00,1900 WOODBOURNE AVE,AGG. ASSAULT,OTHER,415,NORTHEASTERN,Perring Loch,"(39.3550100000, -76.5802200000)"
,10/26/14,4B,1:53:00,0 S EAST AV,AGG. ASSAULT,KNIFE,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2919600000, -76.5719100000)"
,10/26/14,3K,8:00:00,4300 CEDARGARDEN RD,ROBBERY - RESIDENCE,,833,SOUTHWESTERN,Yale Heights,"(39.2753200000, -76.6893900000)"
,10/26/14,4B,8:10:00,6700 PULASKI HW,AGG. ASSAULT,KNIFE,241,NORTHEASTERN,Pulaski Industrial Area,"(39.3055800000, -76.5367000000)"
,10/26/14,4C,15:55:00,1600 EDMONDSON AV,AGG. ASSAULT,OTHER,713,WESTERN,Harlem Park,"(39.2952500000, -76.6436600000)"
,10/26/14,4C,16:30:00,4600 PARKWOOD AV,AGG. ASSAULT,OTHER,443,NORTHEASTERN,Frankford,"(39.3317400000, -76.5509600000)"
,10/26/14,3B,16:58:00,4800 EASTERN,ROBBERY - STREET,,242,SOUTHEASTERN,Pulaski Industrial Area,"(39.2870900000, -76.5556700000)"
,10/26/14,3AF,17:40:00,1000 W BALTIMORE ST,ROBBERY - STREET,FIREARM,712,WESTERN,Poppleton,"(39.2887700000, -76.6340100000)"
,10/26/14,9S,1845,3700 ST VICTOR ST,SHOOTING,FIREARM,913,SOUTHERN,Brooklyn,"(39.2333800000, -76.5972200000)"
,10/26/14,4C,19:30:00,2300 E NORTHERN PW,AGG. ASSAULT,OTHER,423,NORTHEASTERN,Hamilton Hills,"(39.3683900000, -76.5667800000)"
,10/26/14,4A,20:50:00,5200 GOODNOW RD APT J,AGG. ASSAULT,FIREARM,443,NORTHEASTERN,Frankford,"(39.3249800000, -76.5440800000)"
,10/26/14,4A,20:50:00,5200 GOODNOW RD APT J,AGG. ASSAULT,FIREARM,443,NORTHEASTERN,Frankford,"(39.3249800000, -76.5440800000)"
,10/26/14,4B,21:00:00,2000 N FOREST PARK AV,AGG. ASSAULT,KNIFE,821,SOUTHWESTERN,Franklintown,"(39.3091200000, -76.7082400000)"
,10/26/14,3AF,21:35:00,1300 ANGLESEA ST     #APT 1B,ROBBERY - STREET,FIREARM,233,SOUTHEASTERN,Medford,"(39.2791400000, -76.5456600000)"
,10/26/14,4A,22:00:00,300 MARYDELL RD,AGG. ASSAULT,FIREARM,833,SOUTHWESTERN,Irvington,"(39.2806500000, -76.6896300000)"
,10/26/14,4C,22:10:00,6900 MCCLEAN BD,AGG. ASSAULT,OTHER,423,NORTHEASTERN,Hamilton Hills,"(39.3707300000, -76.5670900000)"
,10/26/14,9S,2202,300 MARYDELL RD,SHOOTING,FIREARM,833,SOUTHWESTERN,Irvington,"(39.2806500000, -76.6896300000)"
,10/26/14,3AF,23:13:00,2400 WOODBROOK AVE,ROBBERY - STREET,FIREARM,733,WESTERN,Penn North,"(39.3101800000, -76.6411900000)"
,10/25/14,4C,22:20:00,700 EASTERN AV,AGG. ASSAULT,OTHER,112,CENTRAL,Inner Harbor,"(39.2850700000, -76.6044700000)"
,10/25/14,9S,2229,500 BLOOM ST,SHOOTING,FIREARM,131,CENTRAL,Druid Heights,"(39.3079500000, -76.6368500000)"
,10/25/14,3AJF,23:32:00,2800 HILLEN RD,ROBBERY - CARJACKING,FIREARM,411,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3239900000, -76.5883100000)"
,10/25/14,4A,22:00:00,500 BLOOM ST,AGG. ASSAULT,FIREARM,131,CENTRAL,Druid Heights,"(39.3079500000, -76.6368500000)"
,10/25/14,1F,21,4700 LIBERTY HEIGHTS AV,HOMICIDE,FIREARM,622,NORTHWESTERN,Howard Park,"(39.3314600000, -76.6958000000)"
,10/25/14,3AF,4:15:00,500 RANDOM RD,ROBBERY - STREET,FIREARM,833,SOUTHWESTERN,Beechfield,"(39.2788700000, -76.7012500000)"
,10/25/14,3AF,5:20:00,2400 W BALTIMORE ST,ROBBERY - STREET,FIREARM,842,SOUTHWESTERN,Shipley Hill,"(39.2877400000, -76.6556800000)"
,10/25/14,3H,5:54:00,200 S BROADWAY,ROBBERY - COMMERCIAL,,213,SOUTHEASTERN,Fells Point,"(39.2884500000, -76.5936200000)"
,10/25/14,4A,8:54:00,1900 LEMMON ST,AGG. ASSAULT,FIREARM,934,SOUTHERN,Carrollton Ridge,"(39.2856700000, -76.6472100000)"
,10/25/14,9S,854,1900 LEMMON ST,SHOOTING,FIREARM,934,SOUTHERN,Carrollton Ridge,"(39.2856700000, -76.6472100000)"
,10/25/14,4C,9:20:00,5200 YORK RD,AGG. ASSAULT,OTHER,521,NORTHERN,York-Homeland,"(39.3520700000, -76.6098000000)"
,10/25/14,4C,10:20:00,1900 LEMMON ST,AGG. ASSAULT,OTHER,934,SOUTHERN,Carrollton Ridge,"(39.2856400000, -76.6478400000)"
,10/25/14,4C,10:30:00,2300 WINCHESTER ST,AGG. ASSAULT,OTHER,723,WESTERN,Bridgeview/Greenlawn,"(39.3017400000, -76.6542200000)"
,10/25/14,3B,12:17:00,1200 CATHEDRAL ST,ROBBERY - STREET,,141,CENTRAL,Mid-Town Belvedere,"(39.3038000000, -76.6185200000)"
,10/25/14,4A,15:01:00,2800 W LANVALE ST,AGG. ASSAULT,FIREARM,721,WESTERN,Mosher,"(39.2971800000, -76.6634500000)"
,10/25/14,3CF,15:08:00,5500 HARFORD RD,ROBBERY - COMMERCIAL,FIREARM,425,NORTHEASTERN,Glenham-Belhar,"(39.3527100000, -76.5610700000)"
,10/25/14,3AJF,15:14:00,1800 BLOOMINGDALE RD,ROBBERY - CARJACKING,FIREARM,813,SOUTHWESTERN,Rosemont,"(39.3080800000, -76.6698700000)"
,10/25/14,9S,1501,2800 W LANVALE ST,SHOOTING,FIREARM,721,WESTERN,Mosher,"(39.2972400000, -76.6631700000)"
,10/25/14,4A,16:20:00,0 S STOCKTON ST,AGG. ASSAULT,FIREARM,931,SOUTHERN,Hollins Market,"(39.2885300000, -76.6374700000)"
,10/25/14,2A,17:11:06,1900 ARGONNE DR,RAPE,OTHER,421,NORTHEASTERN,Morgan State University,"(39.3404700000, -76.5825800000)"
,10/25/14,4C,17:30:00,2300 ASHTON ST,AGG. ASSAULT,OTHER,841,SOUTHWESTERN,Millhill,"(39.2812600000, -76.6531900000)"
,10/25/14,3GK,17:50:00,,ROBBERY - COMMERCIAL,KNIFE,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2947700000, -76.5725300000)"
,10/25/14,3GK,17:50:00,,ROBBERY - COMMERCIAL,KNIFE,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2947700000, -76.5725300000)"
,10/25/14,3GK,17:50:00,,ROBBERY - COMMERCIAL,KNIFE,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2947700000, -76.5725300000)"
,10/25/14,3B,18:00:00,1900 LINDEN AVE,ROBBERY - STREET,,132,CENTRAL,Bolton Hill,"(39.3094400000, -76.6310300000)"
,10/25/14,3B,18:45:00,100 SCOTT ST,ROBBERY - STREET,,931,SOUTHERN,Hollins Market,"(39.2869100000, -76.6290900000)"
,10/25/14,4C,19:15:00,2800 ECHODALE AV,AGG. ASSAULT,OTHER,423,NORTHEASTERN,Hamilton Hills,"(39.3520300000, -76.5651800000)"
,10/25/14,3GF,19:51:00,700 WASHINGTON BD,ROBBERY - COMMERCIAL,FIREARM,932,SOUTHERN,Washington Village/Pigtown,"(39.2832700000, -76.6265900000)"
,10/25/14,4C,20:00:00,300 GUSRYAN ST,AGG. ASSAULT,OTHER,241,SOUTHEASTERN,Bayview,"(39.2903700000, -76.5411100000)"
,10/25/14,4D,20:00:00,2100 FREDERICK AVE,AGG. ASSAULT,HANDS,842,SOUTHWESTERN,Boyd-Booth,"(39.2857800000, -76.6499900000)"
,10/24/14,3CK,20:19:00,4400 PARK HEIGHTS AV,ROBBERY - COMMERCIAL,KNIFE,614,NORTHWESTERN,Central Park Heights,"(39.3405400000, -76.6671600000)"
,10/24/14,3B,20:30:00,200 S POPPLETON STREET,ROBBERY - STREET,,931,SOUTHERN,Hollins Market,"(39.2859300000, -76.6319900000)"
,10/24/14,3B,20:30:00,200 S POPPLETON STREET,ROBBERY - STREET,,931,SOUTHERN,Hollins Market,"(39.2859300000, -76.6319900000)"
,10/24/14,3CF,20:51:00,3900 ERDMAN AV,ROBBERY - COMMERCIAL,FIREARM,434,NORTHEASTERN,Belair-Edison,"(39.3149400000, -76.5686200000)"
,10/24/14,4B,16:00:00,2700 HUGO AV,AGG. ASSAULT,KNIFE,411,NORTHEASTERN,Coldstream Homestead Montebello,"(39.3231700000, -76.5890500000)"
,10/24/14,3CF,1:13:00,500 E 23RD ST,ROBBERY - COMMERCIAL,FIREARM,342,EASTERN,East Baltimore Midway,"(39.3154600000, -76.6092900000)"
,10/24/14,4C,1:29:00,1100 DUNDALK AV,AGG. ASSAULT,OTHER,243,SOUTHEASTERN,Graceland Park,"(39.2812800000, -76.5354000000)"
,10/24/14,4B,1:45:00,,AGG. ASSAULT,KNIFE,812,SOUTHWESTERN,Mount Holly,"(39.3131800000, -76.6744000000)"
,10/24/14,4C,2:08:00,1000 N CHARLES ST,AGG. ASSAULT,OTHER,141,CENTRAL,Mid-Town Belvedere,"(39.3012100000, -76.6159400000)"
,10/24/14,4C,2:08:00,1000 N CHARLES ST,AGG. ASSAULT,OTHER,141,CENTRAL,Mid-Town Belvedere,"(39.3012100000, -76.6159400000)"
,10/24/14,3CF,2:13:00,5200 YORK RD,ROBBERY - COMMERCIAL,FIREARM,524,NORTHERN,Woodbourne-McCabe,"(39.3529700000, -76.6097700000)"
,10/24/14,3CO,3:00:00,5500 PARK HEIGHTS AV,ROBBERY - COMMERCIAL,OTHER,633,NORTHWESTERN,Arlington,"(39.3520200000, -76.6838500000)"
,10/24/14,3AO,4:01:00,200 S REGESTER ST,ROBBERY - STREET,OTHER,213,SOUTHEASTERN,Fells Point,"(39.2890400000, -76.5925000000)"
,10/24/14,4D,6:35:00,1000 W LAFAYETTE AV,AGG. ASSAULT,HANDS,713,WESTERN,Harlem Park,"(39.2991500000, -76.6345900000)"
,10/24/14,3AF,8:30:00,200 PARKIN ST,ROBBERY - STREET,FIREARM,932,SOUTHERN,Washington Village/Pigtown,"(39.2857500000, -76.6305300000)"
,10/24/14,3AK,9:53:00,400 W LEXINGTON ST,ROBBERY - STREET,KNIFE,111,CENTRAL,Downtown,"(39.2913100000, -76.6101000000)"
,10/24/14,3NF,10:12:00,2500 HARFORD RD,ROBBERY - STREET,FIREARM,431,NORTHEASTERN,Clifton Park,"(39.3178300000, -76.5940100000)"
,10/24/14,3CF,10:15:00,2100 E MONUMENT ST,ROBBERY - COMMERCIAL,FIREARM,321,EASTERN,Middle East,"(39.2986800000, -76.5871300000)"
,10/24/14,4D,10:45:00,1100 COVINGTON ST,AGG. ASSAULT,HANDS,943,SOUTHERN,Riverside,"(39.2771000000, -76.6070100000)"
,10/24/14,3B,11:54:00,200 N EUTAW ST,ROBBERY - STREET,,111,CENTRAL,Downtown,"(39.2915700000, -76.6211000000)"
,10/24/14,3CK,12:00:00,1200 S PONCA ST,ROBBERY - COMMERCIAL,KNIFE,233,SOUTHEASTERN,Canton Industrial Area,"(39.2796400000, -76.5545300000)"
,10/24/14,4B,13:59:00,5700 CEDONIA AV,AGG. ASSAULT,KNIFE,444,NORTHEASTERN,Frankford,"(39.3403400000, -76.5320400000)"
,10/24/14,3B,17:30:00,1600 WICOMICO ST,ROBBERY - STREET,,941,SOUTHERN,Carroll - Camden Industrial Area,"(39.2743300000, -76.6357800000)"
,10/24/14,4B,17:30:00,5200 MORAVIA RD,AGG. ASSAULT,KNIFE,443,NORTHEASTERN,Frankford,"(39.3242400000, -76.5500300000)"
,10/24/14,3AO,21:40:00,6700 WILLIAMSON AVE,ROBBERY - STREET,OTHER,631,NORTHWESTERN,Fallstaff,"(39.3611200000, -76.7015200000)"
,10/24/14,3B,21:55:00,800 BERRY ST,ROBBERY - STREET,,531,NORTHERN,Hampden,"(39.3316500000, -76.6297500000)"
,10/24/14,4C,22:07:00,,AGG. ASSAULT,OTHER,131,CENTRAL,,
,10/24/14,3B,22:50:00,3900 MOUNT PLEASANT AVE,ROBBERY - STREET,,223,SOUTHEASTERN,Baltimore Highlands,"(39.2909800000, -76.5644300000)"
,10/24/14,4C,22:50:00,0 N ELLAMONT ST,AGG. ASSAULT,OTHER,842,SOUTHWESTERN,Carroll-South Hilton,"(39.2863200000, -76.6704900000)"
,10/24/14,3AF,23:30:00,2300 AIKEN ST,ROBBERY - STREET,FIREARM,342,EASTERN,East Baltimore Midway,"(39.3168400000, -76.5976100000)"
,10/23/14,3CF,12:51:00,2500 HURON ST,ROBBERY - COMMERCIAL,FIREARM,921,SOUTHERN,Mount Winans,"(39.2622500000, -76.6436000000)"
,10/23/14,3CF,14:50:00,0 N WARWICK AV,ROBBERY - COMMERCIAL,FIREARM,714,SOUTHWESTERN,Penrose/Fayette Street Outreach,"(39.2880800000, -76.6555400000)"
,10/23/14,4A,14:55:00,200 N CURLEY ST,AGG. ASSAULT,FIREARM,224,SOUTHEASTERN,Ellwood Park/Monument,"(39.2954600000, -76.5757400000)"
,10/23/14,9S,1455,100 N CURLEY ST,SHOOTING,FIREARM,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2935600000, -76.5756000000)"
,10/23/14,3P,15:05:00,3500 HILLEN RD,ROBBERY - STREET,,412,NORTHEASTERN,Ednor Gardens-Lakeside,"(39.3325500000, -76.5889600000)"
,10/23/14,3AK,0:10:00,1900 CHRISTIAN ST,ROBBERY - STREET,KNIFE,934,SOUTHERN,Carrollton Ridge,"(39.2826000000, -76.6471800000)"
,10/23/14,3K,1:55:00,4700 SAYER AVE,ROBBERY - RESIDENCE,,822,SOUTHWESTERN,Tremont,"(39.2842100000, -76.6939900000)"
,10/23/14,4C,2:35:00,900 SEAGULL AV,AGG. ASSAULT,OTHER,922,SOUTHERN,Cherry Hill,"(39.2440700000, -76.6219400000)"
,10/23/14,3AF,2:40:00,200 N GLOVER ST,ROBBERY - STREET,FIREARM,221,SOUTHEASTERN,McElderry Park,"(39.2949500000, -76.5799700000)"
,10/23/14,3BJ,3:45:00,1000 ORLEANS ST,ROBBERY - CARJACKING,,211,EASTERN,Pleasant View Gardens,"(39.2947500000, -76.6035500000)"
