crimeCaseNumber,CrimeDate,CrimeCode,CrimeTime,Location,Description,Weapon,Post,District,Neighborhood,Location 1
,12/30/14,3B,20:30:00,300 S CONKLING ST,ROBBERY - STREET,,231,SOUTHEASTERN,Highlandtown,"(39.2884700000, -76.5673100000)"
,12/30/14,3AJF,21:40:00,6800 STURBRIDGE DR,ROBBERY - CARJACKING,FIREARM,423,NORTHEASTERN,Hamilton Hills,"(39.3692000000, -76.5631300000)"
,12/30/14,3AF,21:50:00,5100 LINDEN HEIGHTS AV,ROBBERY - STREET,FIREARM,613,NORTHWESTERN,Langston Hughes,"(39.3428800000, -76.6820400000)"
,12/30/14,4A,23:20:00,5600 HARFORD RD,AGG. ASSAULT,FIREARM,423,NORTHEASTERN,Hamilton Hills,"(39.3534300000, -76.5605200000)"
,12/30/14,9S,2322,2900 BAYONNE AV,SHOOTING,FIREARM,423,NORTHEASTERN,Hamilton Hills,"(39.3553800000, -76.5613300000)"
,12/29/14,3GF,0:05:00,200 W 28TH ST,ROBBERY - COMMERCIAL,FIREARM,511,NORTHERN,Remington,"(39.3216700000, -76.6204400000)"
,12/29/14,4A,0:15:00,2100 BOONE ST,AGG. ASSAULT,FIREARM,342,EASTERN,East Baltimore Midway,"(39.3139600000, -76.6084900000)"
,12/29/14,9S,15,2100 BOONE ST,SHOOTING,FIREARM,342,EASTERN,East Baltimore Midway,"(39.3139600000, -76.6084900000)"
,12/29/14,3AF,2:03:00,2300 BELAIR RD,ROBBERY - STREET,FIREARM,431,NORTHEASTERN,Clifton Park,"(39.3176700000, -76.5782800000)"
,12/29/14,3B,9:30:00,3200 GARRISON BD,ROBBERY - STREET,,642,NORTHWESTERN,Concerned Citizens Of Forest Park,"(39.3252200000, -76.6822300000)"
,12/29/14,3B,9:45:00,2700 KEYWORTH AV,ROBBERY - STREET,,612,NORTHWESTERN,Park Circle,"(39.3332000000, -76.6618300000)"
,12/29/14,3AF,10:00:00,5600 WOODMONT AV,ROBBERY - STREET,FIREARM,414,NORTHEASTERN,Woodbourne Heights,"(39.3568900000, -76.5907500000)"
,12/29/14,3B,12:55:00,1300 N GILMOR ST,ROBBERY - STREET,,743,WESTERN,Sandtown-Winchester,"(39.3032900000, -76.6432400000)"
,12/29/14,3CF,13:19:00,3700 WILKENS AV,ROBBERY - COMMERCIAL,FIREARM,832,SOUTHWESTERN,Oaklee,"(39.2702100000, -76.6824200000)"
,12/29/14,4B,14:10:00,800 APPLETON ST,AGG. ASSAULT,KNIFE,722,WESTERN,Midtown-Edmondson,"(39.2979900000, -76.6483800000)"
,12/29/14,3JK,14:10:00,800 APPLETON ST,ROBBERY - RESIDENCE,KNIFE,722,WESTERN,Midtown-Edmondson,"(39.2979900000, -76.6483800000)"
,12/29/14,4D,14:20:00,1500 DIVISION ST,AGG. ASSAULT,HANDS,123,CENTRAL,Upton,"(39.3029100000, -76.6317100000)"
,12/29/14,4C,15:00:00,2000 N FULTON AV,AGG. ASSAULT,OTHER,731,WESTERN,Mondawmin,"(39.3112500000, -76.6466200000)"
,12/29/14,2A,15:02:07,1400 WINSTON AV,RAPE,OTHER,413,NORTHEASTERN,New Northwood,"(39.3503600000, -76.5931700000)"
,12/29/14,2A,16:12:28,300 HERRING CT,RAPE,OTHER,211,SOUTHEASTERN,Perkins Homes,"(39.2877900000, -76.5950500000)"
,12/29/14,3AJF,16:15:00,,ROBBERY - CARJACKING,FIREARM,643,NORTHWESTERN,Ashburton,"(39.3247300000, -76.6667200000)"
,12/29/14,3B,18:30:00,,ROBBERY - STREET,,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2945200000, -76.5787400000)"
,12/29/14,3CF,19:53:00,2600 CHESTERFIELD AV,ROBBERY - COMMERCIAL,FIREARM,432,NORTHEASTERN,Belair-Edison,"(39.3277400000, -76.5739100000)"
,12/29/14,3AF,20:53:00,2400 N MONROE ST,ROBBERY - STREET,FIREARM,731,WESTERN,Mondawmin,"(39.3152000000, -76.6501200000)"
,12/29/14,3AF,20:53:00,2400 N MONROE ST,ROBBERY - STREET,FIREARM,731,WESTERN,Mondawmin,"(39.3152000000, -76.6501200000)"
,12/29/14,3AF,20:53:00,2400 N MONROE ST,ROBBERY - STREET,FIREARM,731,WESTERN,Mondawmin,"(39.3152000000, -76.6501200000)"
,12/29/14,4B,20:55:00,3700 MANCHESTER AV,AGG. ASSAULT,KNIFE,613,NORTHWESTERN,Central Park Heights,"(39.3430600000, -76.6762100000)"
,12/29/14,3AK,20:55:00,3700 MANCHESTER AV,ROBBERY - STREET,KNIFE,613,NORTHWESTERN,Central Park Heights,"(39.3430600000, -76.6762100000)"
,12/29/14,3AK,20:55:00,3700 MANCHESTER AV,ROBBERY - STREET,KNIFE,613,NORTHWESTERN,Central Park Heights,"(39.3430600000, -76.6762100000)"
,12/29/14,2A,20:58:47,2100 ETTING ST,RAPE,OTHER,131,CENTRAL,Druid Heights,"(39.3079700000, -76.6370700000)"
